Awardee, Institute, Primary
University of Illinois Urbana-Champaign (UIUC), ACTION, False
University of Illinois Urbana-Champaign (UIUC), AI4ExceptionalEd, False
University of Illinois Urbana-Champaign (UIUC), AI-EDGE, False
University of Illinois Urbana-Champaign (UIUC), AIFARMS, True
University of Illinois Urbana-Champaign (UIUC), AIFS, False
University of Illinois Urbana-Champaign (UIUC), INVITE, True
University of Illinois Urbana-Champaign (UIUC), iSAT, False
University of Illinois Urbana-Champaign (UIUC), MMLI, True
Georgia Institute of Technology, ACTION, False
Georgia Institute of Technology, AI4OPT, True
Georgia Institute of Technology, AI4OPT, False
Georgia Institute of Technology, AI-ALOE, True
Georgia Institute of Technology, AI CARING, True
Ohio State University, AI-EDGE, True
Ohio State University, ICICLE, True
University of Washington, ACTION, False
University of Washington, AI2ES, False
University of Washington, AI4ExceptionalEd, False
University of Washington, AI-EDGE, False
University of Washington, AI-SDM, False
University of Washington, Dynamics AI, True
University of Washington, Dynamics AI, False
University of Washington, IFML, False
Carnegie Mellon University, AgAID, False
Carnegie Mellon University, AI CARING, False
Carnegie Mellon University, AI-EDGE, False
Carnegie Mellon University, AIIRA, False
Carnegie Mellon University, AI-SDM, True
Massachusetts Institute of Technology, Athena, False
Massachusetts Institute of Technology, IAIFI, True
Massachusetts Institute of Technology, TILOS, False
North Carolina State University, AI2ES, False
North Carolina State University, AI-CLIMATE, False
North Carolina State University, Engage AI, True
University of Texas Austin, AI-EDGE, False
University of Texas Austin, IFML, True
University of Texas Austin, TILOS, False
Columbia University, ARNI, True
Columbia University, Dynamics AI, False
Iowa State University, AIIRA, True
Iowa State University, ICICLE, False
University of California Davis, AIFS, True
University of California Davis, ICICLE, False
University of California San Diego, ICICLE, False
University of California San Diego, TILOS, True
Duke University, Athena, True
UC Santa Barbara, ACTION, True
University at Buffalo, AI4ExceptionalEd, True
University of Colorado Boulder, iSAT, True
University of Maryland, College Park, TRAILS, True
University of Minnesota, AI-CLIMATE, True
University of Oklahoma, AI2ES, True
Washington State University, AgAID, True
Harvard University, AI-ALOE, False
Harvard University, AI-SDM, False
Harvard University, ARNI, False
Harvard University, Dynamics AI, False
Harvard University, IAIFI, False
